姓名,性别,出生年月,籍贯,学历|学位,领导级别,链接,信息来源
﻿周森锋,男,1980年07月,河南禹州,硕士,湖北省神农架林区党委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4476.htm,人民网
﻿李发平,男,1963年01月,湖北十堰,硕士,湖北省神农架林区区长,http://ldzl.people.com.cn/dfzlk/front/personPage14854.htm,人民网
﻿许达哲,男,1956年09月,湖南浏阳,硕士,湖南省委副书记，省长,http://ldzl.people.com.cn/dfzlk/front/personPage16010.htm,人民网
﻿李微微,女,1958年03月,湖南宁乡,博士,湖南省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage6337.htm,人民网
﻿乌兰,女,1962年11月,内蒙古科左中旗,研究生,湖南省委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage5473.htm,人民网
﻿陈向群,男,1962年11月,河北唐山,学士,湖南省委常委、常务副省长,http://ldzl.people.com.cn/dfzlk/front/personPage15352.htm,人民网
﻿易炼红,男,1959年09月,湖南涟源,硕士,湖南省委常委、长沙市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4478.htm,人民网
﻿傅奎,男,1962年09月,湖北丹江口,学士,湖南省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15049.htm,人民网
﻿黄关春,男,1959年02月,湖北鄂州,硕士,湖南省委常委、政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5717.htm,人民网
﻿黄兰香,女,1962年02月,湖南醴陵,硕士,湖南省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6348.htm,人民网
﻿王少峰,男,1963年06月,山西代县,博士,湖南省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage16205.htm,人民网
﻿蔡振红,男,1963年09月,山东昌邑,学士,湖南省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage12959.htm,人民网
﻿胡衡华,男,1963年06月,湖南衡南,硕士,湖南省委常委,http://ldzl.people.com.cn/dfzlk/front/personPage4994.htm,人民网
﻿何报翔,男,1963年04月,湖南岳阳,博士,湖南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6345.htm,人民网
﻿张剑飞,男,1962年11月,湖南邵东,博士,湖南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4479.htm,人民网
﻿戴道晋,男,1957年02月,湖南汉寿,硕士,湖南省政府副省长，省政协副主席,http://ldzl.people.com.cn/dfzlk/front/personPage11007.htm,人民网
﻿向力力,男,1962年09月,湖南衡东,博士,湖南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4496.htm,人民网
﻿谢建辉,女,1961年11月,湖南长沙,,湖南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage16352.htm,人民网
﻿杨光荣,男,1962年11月,湖南湘潭,硕士,湖南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4492.htm,人民网
﻿陈文浩,男,1961年12月,广东大埔,研究生,湖南省长沙市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4498.htm,人民网
﻿毛腾飞,男,1962年09月,湖南武冈,博士,湖南省株洲市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4481.htm,人民网
﻿阳卫国,男,1967年07月,湖南衡东,硕士,湖南省株洲市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15587.htm,人民网
﻿曹炯芳,男,1964年05月,湖南澧县,硕士,湖南省湘潭市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15569.htm,人民网
﻿谈文胜,男,1971年02月,湖南宁乡,博士,湖南省湘潭市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15607.htm,人民网
﻿周海兵,男,1971年02月,湖南岳阳,硕士,湖南省衡阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4485.htm,人民网
﻿龚文密,男,1961年10月,湖北监利,硕士,湖南省邵阳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4487.htm,人民网
﻿刘事青,男,1964年06月,湖南永州,研究生,湖南省邵阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15586.htm,人民网
﻿胡忠雄,男,1966年01月,湖南澧县,博士,湖南省岳阳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4495.htm,人民网
﻿刘和生,男,1962年01月,湖南祁东,本科,湖南省岳阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage14863.htm,人民网
﻿王群,男,1961年06月,湖南沅江,本科,湖南省常德市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4490.htm,人民网
﻿周德睿,男,1966年02月,湖南祁东,硕士,湖南省常德市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4491.htm,人民网
﻿虢正贵,男,1964年09月,湖南长沙,硕士,湖南省张家界市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16265.htm,人民网
﻿王志刚,男,1963年06月,湖南攸县,研究生,湖南省张家界市市长,http://ldzl.people.com.cn/dfzlk/front/personPage14840.htm,人民网
﻿瞿海,男,1966年01月,湖南沅陵,研究生,湖南省益阳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4497.htm,人民网
﻿张值恒,男,1970年02月,湖南新化,硕士,湖南省益阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16360.htm,人民网
﻿易鹏飞,男,1962年05月,湖南益阳,本科,湖南省郴州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4503.htm,人民网
﻿刘志仁,男,1964年09月,,本科,湖南省郴州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16354.htm,人民网
﻿李晖,女,1970年05月,湖南桃江,博士,湖南省永州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4501.htm,人民网
﻿易佳良,男,,湖南长沙,,湖南省永州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage14904.htm,人民网
﻿彭国甫,男,1963年01月,湖南湘乡,博士,湖南省怀化市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5031.htm,人民网
﻿李荐国,男,1963年03月,湖南衡阳,博士,湖南省娄底市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12739.htm,人民网
﻿杨懿文,男,1966年07月,湖南汨罗,,湖南省娄底市市长,http://ldzl.people.com.cn/dfzlk/front/personPage7926.htm,人民网
﻿叶红专,男,1958年06月,湖南龙山,专科,湖南省湘西土家族苗族自治州党委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4504.htm,人民网
﻿龙晓华,女,1963年12月,湖南花垣,硕士,湖南省湘西土家族苗族自治州州长,http://ldzl.people.com.cn/dfzlk/front/personPage16331.htm,人民网
﻿胡春华,男,1963年04月,湖北五峰,学士,广东省委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4935.htm,人民网
﻿李玉妹,女,1956年10月,山东沂南,研究生,广东省人大常委会主任、省委常委,http://ldzl.people.com.cn/dfzlk/front/personPage6351.htm,人民网
﻿马兴瑞,男,1959年10月,山东郓城,博士,广东省委副书记、省长,http://ldzl.people.com.cn/dfzlk/front/personPage6349.htm,人民网
﻿王荣,男,1958年04月,江苏滨海,博士,广东省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4508.htm,人民网
﻿任学锋,男,1965年10月,河北邢台,博士,广东省委副书记、广州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5043.htm,人民网
﻿黄先耀,男,1954年10月,河南长垣,博士,广东省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6350.htm,人民网
﻿林雄,男,1959年05月,海南临高,硕士,广东省委常委、统战部部长，省政协副主席,http://ldzl.people.com.cn/dfzlk/front/personPage6352.htm,人民网
﻿黄善春,男,1957年04月,广西北流,研究生,广东省委常委、省军区政委,http://ldzl.people.com.cn/dfzlk/front/personPage6356.htm,人民网
﻿林少春,男,1962年05月,广东汕头,硕士,广东省委常委、副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6361.htm,人民网
﻿邹铭,男,1964年11月,江西萍乡,博士,广东省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage15518.htm,人民网
﻿王伟中,男,1962年03月,山西朔州,博士,广东省委常委、深圳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6333.htm,人民网
﻿许瑞生,男,1962年04月,广东汕头,博士,广东省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6360.htm,人民网
﻿邓海光,男,1968年10月,广东雷州,硕士,广东省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6363.htm,人民网
﻿李春生,男,1961年03月,河南郑州,本科,广东省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6362.htm,人民网
﻿何忠友,男,1965年11月,安徽无为,硕士,广东省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4532.htm,人民网
﻿温国辉,男,1963年10月,广东揭西,硕士,广东省广州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4530.htm,人民网
﻿郭元强,男,1966年05月,河南光山,博士,广东省珠海市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15558.htm,人民网
﻿李泽中,男,1970年01月,安徽庐江,硕士,广东省珠海市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16585.htm,人民网
﻿陈良贤,男,1963年09月,广东惠来,研究生,广东省汕头市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4541.htm,人民网
﻿刘小涛,男,1970年07月,广东省兴宁,硕士,广东省汕头市市长,http://ldzl.people.com.cn/dfzlk/front/personPage8146.htm,人民网
﻿莫高义,男,1964年12月,湖北石首,博士,广东省韶关市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16526.htm,人民网
﻿骆蔚峰,男,1964年09月,广东龙川,硕士,广东省韶关市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12985.htm,人民网
﻿鲁毅,男,1964年10月,湖北武汉,博士,广东省佛山市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5036.htm,人民网
﻿朱伟,男,1968年09月,湖南石门,硕士,广东省佛山市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15606.htm,人民网
﻿林应武,男,1963年01月,广东汕头,硕士,广东省江门市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15986.htm,人民网
﻿邓伟根,男,1962年06月,广东佛山,博士,广东省江门市市长,http://ldzl.people.com.cn/dfzlk/front/personPage5128.htm,人民网
﻿郑人豪,男,1968年06月,广东汕头,博士,广东省湛江市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4513.htm,人民网
﻿姜建军,男,1964年08月,河南商城,硕士,广东省湛江市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage9242.htm,人民网
﻿赖泽华,男,1965年09月,广东紫金,硕士,广东省肇庆市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12218.htm,人民网
﻿陈旭东,男,1966年10月,浙江诸暨,硕士,广东省肇庆市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15840.htm,人民网
﻿陈奕威,男,1962年04月,广东潮安,硕士,广东省惠州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5000.htm,人民网
﻿麦教猛,男,1966年06月,广东雷州,硕士,广东省惠州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4527.htm,人民网
﻿谭君铁,男,1968年01月,广东阳东,硕士,广东省梅州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4529.htm,人民网
﻿方利旭,男,1963年10月,广东普宁,硕士,广东省梅州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15834.htm,人民网
﻿石奇珠,男,1960年08月,广东增城,专科,广东省汕尾市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage7105.htm,人民网
﻿杨绪松,男,1962年03月,湖北荆州,博士,广东省汕尾市市长,http://ldzl.people.com.cn/dfzlk/front/personPage9233.htm,人民网
﻿张文,男,1968年10月,江西省余江县,硕士,广东省河源市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage8649.htm,人民网
﻿彭建文,男,1966年10月,广东中山,硕士,广东省河源市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4533.htm,人民网
﻿陈小山,男,1962年09月,广东兴宁,研究生,广东省阳江市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15568.htm,人民网
﻿温湛滨,男,1971年01月,广东湛江,博士,广东省阳江市市长,http://ldzl.people.com.cn/dfzlk/front/personPage5431.htm,人民网
﻿葛长伟,男,1965年07月,安徽淮北,,广东省清远市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4536.htm,人民网
﻿郭锋,男,1960年09月,广东大埔,研究生,广东省清远市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4525.htm,人民网
﻿吕业升,男,1962年09月,广东鹤山,研究生,广东省东莞市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15605.htm,人民网
﻿梁维东,男,1962年10月,广东佛山,硕士,广东省东莞市市长,http://ldzl.people.com.cn/dfzlk/front/personPage5138.htm,人民网
﻿陈如桂,男,1962年09月,广东廉江,博士,广东省中山市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16009.htm,人民网
﻿焦兰生,男,1962年05月,河南长垣,硕士,广东省中山市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15584.htm,人民网
﻿殷昭举,男,1972年07月,安徽砀山县,博士,广东省潮州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15752.htm,人民网
﻿庞国梅,女,1967年10月,广东湛江,硕士,广东省云浮市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4519.htm,人民网
﻿王胜,男,1968年03月,山东阳谷,硕士,广东省云浮市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15619.htm,人民网
﻿彭清华,男,1957年04月,湖北大冶,博士,广西壮族自治区党委书记、自治区人大常委会主任	,http://ldzl.people.com.cn/dfzlk/front/personPage4939.htm,人民网
﻿陈武,男,1954年11月,广西崇左,学士,广西壮族自治区党委副书记、自治区政府主席	,http://ldzl.people.com.cn/dfzlk/front/personPage4940.htm,人民网
﻿陈际瓦,女,1954年06月,四川广安,学士,广西壮族自治区政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4941.htm,人民网
﻿范晓莉,女,1961年11月,吉林敦化,博士,广西壮族自治区党委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6372.htm,人民网
﻿王小东,男,1962年01月,山西灵丘,硕士,广西壮族自治区党委常委、南宁市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4556.htm,人民网
﻿王可,男,1962年11月,湖南南县,硕士,广西自治区党委常委、党委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage4562.htm,人民网
﻿黄世勇,男,1961年07月,广西都安,研究生,广西壮族自治区党委常委、政法委书记，副主席,http://ldzl.people.com.cn/dfzlk/front/personPage4570.htm,人民网
﻿赵德明,男,1963年09月,广西金秀,硕士,广西壮族自治区党委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4568.htm,人民网
﻿黄日波,男,1958年07月,广西靖西,博士,广西壮族自治区副主席,http://ldzl.people.com.cn/dfzlk/front/personPage6375.htm,人民网
﻿张晓钦,男,1968年01月,江苏南通,硕士,广西壮族自治区副主席,http://ldzl.people.com.cn/dfzlk/front/personPage6377.htm,人民网
﻿陈刚,男,1959年07月,广西永福,学士,广西壮族自治区副主席,http://ldzl.people.com.cn/dfzlk/front/personPage6378.htm,人民网
﻿张秀隆,男,1958年05月,湖南怀化,,广西壮族自治区副主席,http://ldzl.people.com.cn/dfzlk/front/personPage12176.htm,人民网
﻿胡焯,男,1963年03月,江西永新,硕士,广西壮族自治区副主席、自治区公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage15046.htm,人民网
﻿黄伟京,男,1962年09月,广西贺州,学士,广西壮族自治区副主席,http://ldzl.people.com.cn/dfzlk/front/personPage16467.htm,人民网
﻿周红波,男,1970年10月,广西临桂,硕士,广西壮族自治区南宁市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4549.htm,人民网
﻿郑俊康,男,1959年10月,浙江宁波,研究生,广西壮族自治区柳州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4550.htm,人民网
﻿吴炜,男,1968年09月,广东普宁,研究生,广西壮族自治区柳州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15403.htm,人民网
﻿赵乐秦,男,1960年01月,陕西西安,学士,广西壮族自治区桂林市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4552.htm,人民网
﻿朱学庆,男,1964年04月,河南郑州,硕士,广西壮族自治区梧州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4555.htm,人民网
﻿王乃学,男,1962年12月,山东蓬莱,博士,广西壮族自治区北海市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16254.htm,人民网
﻿李延强,男,1963年04月,河北巨鹿,研究生,广西壮族自治区北海市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16042.htm,人民网
﻿金湘军,男,1964年07月,湖南江华,博士,广西壮族自治区防城港市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4564.htm,人民网
﻿何朝建,男,1966年05月,广西田阳,学士,广西壮族自治区防城港市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4559.htm,人民网
﻿黄海昆,男,1965年01月,广西贵港,硕士,广西壮族自治区钦州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16005.htm,人民网
﻿李新元,男,1962年10月,江苏泰兴,学士,广西壮族自治区贵港市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4561.htm,人民网
﻿农融,男,1967年09月,广西马山,硕士,广西壮族自治区贵港市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15408.htm,人民网
﻿莫恭明,男,1962年09月,广西岑溪,硕士,广西壮族自治区玉林市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16602.htm,人民网
﻿苏海棠,男,1963年10月,广东高要,硕士,广西壮族自治区玉林市市长,http://ldzl.people.com.cn/dfzlk/front/personPage5004.htm,人民网
﻿彭晓春,男,1961年11月,广西合浦,硕士,广西壮族自治区百色市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4566.htm,人民网
﻿周异决,男,1965年12月,广西贵港,博士,广西壮族自治区百色市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4567.htm,人民网
﻿林冠,男,1966年11月,广西平南,博士,广西壮族自治区贺州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16409.htm,人民网
﻿何辛幸,男,1962年09月,山东滨州,学士,广西壮族自治区河池市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4571.htm,人民网
﻿雷应敏,男,1964年11月,广西昭平,硕士,广西壮族自治区来宾市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15474.htm,人民网
﻿刘有明,男,1963年08月,广西全州,,广西壮族自治区崇左市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15515.htm,人民网
﻿孙大光,男,1971年12月,辽宁盖州,博士,广西壮族自治区崇左市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4575.htm,人民网
﻿刘赐贵,男,1955年09月,福建泉州,研究生,海南省委书记，省长,http://ldzl.people.com.cn/dfzlk/front/personPage11962.htm,人民网
﻿罗保铭,男,1952年10月,天津,硕士,海南省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4942.htm,人民网
﻿沈晓明,男,1963年05月,浙江绍兴,博士,海南省委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage4243.htm,人民网
﻿李军,男,1962年02月,湖南安乡,博士,海南省委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage6422.htm,人民网
﻿许俊,男,1958年01月,海南澄迈,研究生,海南省委常委、宣传部部长，省人大常委会副主任,http://ldzl.people.com.cn/dfzlk/front/personPage6380.htm,人民网
﻿毛超峰,男,1965年12月,河南柘城,硕士,海南省委常委，常务副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6383.htm,人民网
﻿王瑞连,男,1964年07月,山东邹平,研究生,海南省委常委、组织部部长、教育工委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6461.htm,人民网
﻿张琦,男,1961年03月,安徽寿县,硕士,海南省委常委、海口市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5052.htm,人民网
﻿胡光辉,男,1959年08月,湖南宁乡,硕士,海南省委常委、秘书长，省直属机关工委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12746.htm,人民网
﻿蓝佛安,男,1962年06月,广东惠东,硕士,海南省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12239.htm,人民网
﻿肖莺子,女,1963年03月,广西来宾,硕士,海南省委常委,http://ldzl.people.com.cn/dfzlk/front/personPage4560.htm,人民网
﻿李国梁,男,1964年10月,山东曹县,博士,海南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6386.htm,人民网
﻿王路,男,1963年02月,浙江桐庐,博士,海南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6387.htm,人民网
﻿何西庆,女,1958年06月,甘肃镇原,硕士,海南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6389.htm,人民网
﻿倪强,男,1966年05月,江苏镇江,博士,海南省海口市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4577.htm,人民网
﻿严朝君,男,1963年11月,海南琼海,研究生,海南省三亚市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5576.htm,人民网
﻿吴岩峻,男,1961年12月,宁夏盐池,博士,海南省三亚市市长,http://ldzl.people.com.cn/dfzlk/front/personPage10091.htm,人民网
﻿肖杰,男,1960年10月,广东雷州,硕士,海南省三沙市委书记、市长,http://ldzl.people.com.cn/dfzlk/front/personPage4580.htm,人民网
﻿张耕,男,1966年11月,安徽亳州,博士,海南省儋州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage10160.htm,人民网
﻿朱洪武,男,1971年09月,海南澄迈,学士,海南省儋州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16531.htm,人民网
﻿张轩,女,1958年05月,河北滦县,学士,重庆市人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4946.htm,人民网
﻿张国清,男,1964年08月,河南罗山,博士,重庆市委副书记、市长,http://ldzl.people.com.cn/dfzlk/front/personPage6391.htm,人民网
﻿徐松南,男,1956年06月,安徽枞阳,研究生,重庆市政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage6393.htm,人民网
﻿唐良智,男,1960年06月,湖北洪湖,博士,重庆市委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage4445.htm,人民网
﻿刘学普,男,1957年10月,重庆石柱,研究生,重庆市委常委、市委政法委书记，市人大常委会副主任,http://ldzl.people.com.cn/dfzlk/front/personPage6395.htm,人民网
﻿宋爱荣,女,1959年09月,河南扶沟,研究生,重庆市委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6718.htm,人民网
﻿吴存荣,男,1963年05月,安徽无为,硕士,重庆市委常委、常务副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4302.htm,人民网
﻿张鸣,男,1962年06月,湖南汨罗,学士,重庆市委常委、市委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage6400.htm,人民网
﻿曾庆红,女,1962年04月,江西兴国,硕士,重庆市委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6396.htm,人民网
﻿燕平,男,1958年12月,重庆渝北,学士,重庆市委常委、宣传部部长，市政协副主席,http://ldzl.people.com.cn/dfzlk/front/personPage6397.htm,人民网
﻿陈雍,男,1966年10月,辽宁北镇,硕士,重庆市委常委、市纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16389.htm,人民网
﻿王显刚,男,1963年03月,重庆江津,研究生,重庆市委常委、万州区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12255.htm,人民网
﻿陈代平,男,,湖北石首,,重庆市委常委、重庆警备区政委,http://ldzl.people.com.cn/dfzlk/front/personPage12972.htm,人民网
﻿何挺,男,1962年02月,山东荣成,博士,重庆市副市长、市公安局局长,http://ldzl.people.com.cn/dfzlk/front/personPage6398.htm,人民网
﻿刘强,男,1961年12月,重庆巴南,硕士,重庆市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage6402.htm,人民网
﻿谭家玲,女,1966年02月,重庆九龙坡,硕士,重庆市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage6403.htm,人民网
﻿陈绿平,男,1963年09月,广东汕头,博士,重庆市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4544.htm,人民网
﻿沐华平,男,1965年07月,江苏兴化,博士,重庆市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4595.htm,人民网
﻿刘桂平,男,1966年05月,湖南衡南,博士,重庆市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage15843.htm,人民网
﻿屈谦,男,1960年04月,四川华阳,硕士,重庆市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage16372.htm,人民网
﻿陶长海,男,1963年07月,重庆沙坪坝,硕士,重庆市渝中区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4631.htm,人民网
﻿卢建辉,女,1964年10月,四川自贡,硕士,重庆市大渡口区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4583.htm,人民网
﻿姚斌,男,1965年04月,四川隆昌,硕士,重庆市大渡口区区长,http://ldzl.people.com.cn/dfzlk/front/personPage16239.htm,人民网
﻿杜和平,男,1963年06月,四川苍溪,研究生,重庆市江北区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4585.htm,人民网
﻿代小红,女,1966年11月,重庆綦江,硕士,重庆市江北区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4647.htm,人民网
﻿王越,男,1961年09月,山东沾化,博士,重庆市沙坪坝区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4587.htm,人民网
﻿陈金山,男,1967年02月,四川西充,博士,重庆市沙坪坝区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4655.htm,人民网
﻿丁洪,男,1966年04月,重庆潼南,硕士,重庆市九龙坡区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4589.htm,人民网
﻿刘小强,男,1971年05月,重庆涪陵,,重庆市九龙坡区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15754.htm,人民网
﻿郑向东,男,1968年11月,四川隆昌,博士,重庆市南岸区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4592.htm,人民网
﻿王俊,男,,,,重庆市南岸区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15824.htm,人民网
﻿汪夔万,男,1971年10月,重庆万州,博士,重庆市北碚区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4594.htm,人民网
﻿黄宗华,男,1964年01月,重庆璧山,硕士,重庆市北碚区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15492.htm,人民网
﻿段成刚,男,1963年06月,重庆市江北区,,重庆市渝北区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4598.htm,人民网
﻿唐川,男,1964年04月,重庆大足,研究生,重庆市渝北区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4600.htm,人民网
﻿辛国荣,男,1963年09月,重庆北碚,硕士,重庆市巴南区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4639.htm,人民网
﻿陈刚,男,1964年11月,重庆开县,研究生,重庆市巴南区区长,http://ldzl.people.com.cn/dfzlk/front/personPage5007.htm,人民网
﻿唐小平,男,1969年02月,重庆忠县,硕士,重庆市铜梁区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16590.htm,人民网
﻿常斌,男,1969年10月,四川平昌,硕士,重庆市铜梁区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15529.htm,人民网
﻿曹清尧,男,1963年11月,湖南新化,学士,重庆市荣昌区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4638.htm,人民网
﻿程晓阳,男,1965年05月,重庆丰都,研究生,重庆市荣昌区区长,http://ldzl.people.com.cn/dfzlk/front/personPage5026.htm,人民网
