姓名,性别,出生年月,籍贯,学历|学位,领导级别,链接,信息来源
﻿王波,男,1958年10月,内蒙古翁牛特旗,硕士,内蒙古自治区副主席,http://ldzl.people.com.cn/dfzlk/front/personPage5638.htm,人民网
﻿马明,男,1957年10月,辽宁辽中,硕士,内蒙古自治区副主席，自治区公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage5639.htm,人民网
﻿白向群,男,1962年09月,辽宁北票,博士,内蒙古自治区政府副主席,http://ldzl.people.com.cn/dfzlk/front/personPage5641.htm,人民网
﻿常军政,男,1957年12月,内蒙古土右旗,研究生,内蒙古自治区政府副主席,http://ldzl.people.com.cn/dfzlk/front/personPage5642.htm,人民网
﻿艾丽华,女,1964年10月,内蒙古翁牛特旗,学士,内蒙古自治区政府副主席，乌兰察布市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12154.htm,人民网
﻿张华,男,1960年01月,内蒙古清水河,本科,内蒙古自治区政府副主席,http://ldzl.people.com.cn/dfzlk/front/personPage16607.htm,人民网
﻿李杰翔,男,1964年03月,内蒙古准格尔旗,研究生,内蒙古自治区呼和浩特市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12251.htm,人民网
﻿史万钧,男,1963年04月,内蒙古赤峰,,内蒙古自治区乌海市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15630.htm,人民网
﻿高世宏,男,1969年12月,河北辛集,硕士,内蒙古自治区乌海市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16380.htm,人民网
﻿毕力夫,男,1962年12月,内蒙古呼和浩特,博士,内蒙古自治区赤峰市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4995.htm,人民网
﻿孟宪东,男,1965年02月,内蒙古敖汉旗,硕士,内蒙古自治区赤峰市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15557.htm,人民网
﻿郝茂荣,男,1963年11月,内蒙古包头,博士,内蒙古自治区通辽市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16387.htm,人民网
